ONOS1,ONOS2,ONOS3,ONOS4,ONOS5
960,60,1400,1320,1360
1140,800,860,780,720
1280,1100,1360,2960,1400
3280,2700,1820,1620,1020
1240,800,2960,1360,1360
2060,1480,2260,1740,3320
1740,2460,2200,1900,2280
1700,1400,2200,2020,2400
1360,880,1360,1280,2060
1360,1840,3080,1360,1300
1700,460,3000,2720,2080
1900,2180,1820,2660,2560
1920,1500,1840,1520,1560
2480,2120,2440,1620,1980
2000,2320,1820,2000,1600
1880,1900,2700,1460,1220
920,1020,1300,1040,520
2040,1940,1740,2480,2800
2060,1860,540,1340,1000
1160,500,1360,1360,3200
1200,640,1620,1760,2720
2620,2380,2700,2240,1820
2200,2360,2620,2000,2140
860,720,1220,2800,1200
760,160,2060,1600,780
1600,1900,1600,1620,1080
2000,2100,2340,1380,2000
1960,420,1600,1300,480
2000,2060,1920,1760,1320
2160,2160,3060,1660,1500
2280,900,840,720,1460
320,800,320,1200,1360
1480,800,1460,1360,1360
2220,840,2640,3840,3080
3160,2580,5240,4420,5420
6020,6360,10220,7380,7000
6580,3580,5580,9820,12220
4900,2860,2700,3440,3260
4660,3160,5040,7020,6100
5080,4180,5480,5820,6920
5280,1540,5420,5900,5180
5100,4760,5920,6800,3180
8780,3740,6340,7300,10660
1720,1700,3940,5680,5880
4840,3580,4840,3160,2580
5380,3880,6200,6540,6820
2820,2600,2360,2920,2380
5500,3300,9340,6300,10040
5800,3220,5960,6760,8060
4740,2680,4400,4800,5300
7560,3580,6520,4220,3180
5560,4720,9940,12660,8200
6680,3900,5320,6440,7260
4900,3040,2940,2620,2940
5320,3460,6060,6060,5540
5900,2980,6340,6780,11440
3540,960,4580,4460,11180
2960,1700,2660,2340,4660
5740,3580,7160,7340,6960
3460,3380,5480,5200,6080
4940,2540,2960,3280,2600
5400,3260,7360,4520,5440
5160,1960,6120,6540,7420
2800,2480,2460,3620,4280
7440,3960,4900,9660,7320
3860,4140,5080,4680,5660
2160,1840,4860,1220,3440
3140,3960,7140,6600,6140
4080,4580,5960,4360,7420
2520,1500,3500,1100,2080
7200,4340,6440,6500,6760
3460,2060,4120,3660,4880
4540,3780,6920,6000,6740
5780,3800,6240,6380,5840
4280,3200,4220,4880,2340
7640,7400,9860,12760,6520
3260,960,1480,1360,1980
1360,1300,2480,2880,2600
2780,1540,3000,3080,2980
