ONOS1,ONOS2,ONOS3,ONOS4,ONOS5
512,2112,352,320,0
512,2432,0,0,0
672,912,352,320,0
672,3184,160,128,0
672,992,352,320,0
672,1568,352,0,0
576,544,0,0,0
672,912,256,304,0
224,640,352,320,0
144,1440,352,320,0
0,672,352,320,0
0,1536,336,0,0
32,1536,0,0,0
160,960,0,0,0
0,1520,0,0,0
512,1072,352,320,0
256,448,352,0,0
576,1088,0,0,0
672,1280,352,320,0
576,656,0,0,0
0,976,352,16,0
512,1872,352,320,0
512,1456,352,320,0
0,1344,0,320,0
0,1472,112,0,0
512,432,352,320,0
96,1920,352,320,0
624,896,0,16,0
672,736,352,320,0
512,688,0,0,0
256,1664,0,0,0
672,1344,352,320,0
160,656,0,0,0
528,800,352,416,0
304,1552,608,528,0
688,2928,736,624,0
1568,1536,448,1296,0
1232,3936,720,640,0
544,1600,720,768,0
992,1712,512,192,0
1328,1904,256,496,0
656,1440,848,704,0
16,1040,400,16,0
816,1728,736,800,0
80,800,144,48,0
672,368,304,96,0
1376,2016,336,480,0
1008,1648,656,256,0
640,576,336,480,0
752,1824,160,128,0
864,1872,592,288,0
592,1552,688,416,0
528,2256,768,448,0
768,1136,416,464,0
256,880,272,80,0
928,1792,640,368,0
224,880,208,48,0
976,2048,368,128,0
976,752,96,464,0
544,2208,544,160,0
688,1824,480,912,0
1088,2944,688,448,0
448,1088,368,128,0
1184,1232,384,544,0
880,2624,768,656,0
864,2240,512,432,0
672,1120,304,320,0
1552,1280,416,320,0
1200,1024,176,368,0
1376,2224,96,272,0
2512,2000,400,1376,0
464,944,384,128,0
1440,1984,400,320,0
352,1344,160,144,0
832,1840,688,208,0
1264,1168,1088,352,0
224,1136,400,64,0
1104,1888,544,256,0
144,448,352,0,0
544,800,432,400,0
0,1376,0,0,0
0,1504,160,96,0
240,1296,144,64,0
592,2064,352,432,0
336,1776,736,400,0
576,2480,784,496,0
800,1792,480,1424,0
720,2048,1056,384,0
448,1616,192,400,0
128,1632,112,144,0
848,2416,208,144,0
352,384,240,96,0
1040,2560,352,64,0
672,336,16,64,0
2128,1984,432,320,0
880,3152,704,160,0
368,1024,128,64,0
1024,1632,416,192,0
1008,1152,288,272,0
512,1168,384,80,0
1312,1440,640,304,0
864,192,384,96,0
832,1664,656,288,0
720,976,496,272,0
608,1200,176,560,0
784,1984,224,144,0
944,1440,560,176,0
464,1136,160,288,0
592,1664,640,832,0
576,1056,144,768,0
368,1632,80,16,0
752,1808,448,368,0
352,848,16,80,0
752,1792,448,448,0
432,1008,368,208,0
704,1872,464,416,0
1088,1472,368,224,0
672,592,224,64,0
1536,1440,576,528,0
1120,784,48,240,0
1056,1248,192,816,0
1504,1360,368,832,0
368,1024,496,736,0
1152,1920,544,640,0
816,976,384,400,0
832,2704,608,464,0
1280,2768,864,608,0
672,3776,416,80,0
448,1200,208,256,0
752,1680,96,160,0
512,832,0,0,0
512,864,352,320,0
160,1152,0,0,0
512,576,352,320,0
0,1376,352,144,0
96,1408,352,320,0
144,1584,176,16,0
480,880,288,352,0
336,2496,592,1088,0
496,1888,464,752,0
800,1936,672,816,0
1504,1360,1024,768,0
624,1264,1024,288,0
1248,1376,832,368,0
1184,720,48,128,0
720,1936,464,368,0
800,752,176,144,0
880,1488,432,432,0
448,432,608,16,0
1072,1920,608,176,0
1360,1584,368,224,0
896,1472,304,304,0
1744,2704,640,704,0
896,1776,928,368,0
432,624,192,112,0
1040,3776,464,240,0
864,2368,576,400,0
512,1296,560,128,0
768,1488,800,480,0
1280,1696,208,160,0
944,1200,240,304,0
1232,1296,288,96,0
656,1728,192,752,0
416,832,304,480,0
784,2464,368,288,0
1616,2912,448,480,0
880,1920,224,544,0
800,2320,784,272,0
400,1440,848,752,0
784,2288,272,304,0
736,2112,224,192,0
816,240,80,320,0
2352,448,160,512,0
656,736,48,112,0
528,1760,608,784,0
464,1184,272,224,0
1040,1184,688,224,0
304,560,784,496,0
976,2304,256,112,0
944,1760,1024,144,0
736,2880,432,512,0
96,704,352,320,0
160,0,0,0,0
160,160,0,0,0
576,1056,0,0,0
